"chunks","time","diff"
"six or eight years ago. This costume is a fancy one, it appears, and","1767978659128","1"
"have not seen him lately at the baron’s house?”","1767978659128","1"
"yourself Oriental, a Levantine, Maltese, Indian, Chinese; your family","1767978659128","1"
"50229m","1767978659128","1"
"spread their luxuriant branches, we shall find some people of our","1767978659128","1"
"seen him give up an enterprise, or even delay in its execution. Dantès","1767978659128","1"
"will repent quitting a life for a repose you have bought at so dear a","1767978659128","1"
"“The king! I thought he was philosopher enough to allow that there was","1767978659128","1"
"most conscientious man in the world, and although I place the utmost","1767978659128","1"
"cleft the skull of the other with his sabre. He had assigned himself","1767978659128","1"
"being honest.” The abbé fixed on him a searching, penetrating glance.","1767978659128","1"
"wonder. Certainly a call to the visitors’ room had scarcely astonished","1767978659128","1"
"nothing to be got out of a king’s attorney, died of grief or anger at","1767978659128","1"
"that stood upon the two square pilasters of a curiously wrought iron","1767978659128","1"
"Eastern monarchs of his services.”","1767978659128","1"
"“I beg you to do so,” replied Albert.","1767978659128","1"
"rose, Monte Cristo did the same, and the rest followed their example.","1767978659128","1"
"result of the experiment left no doubt whatever on the mind.","1767978659128","1"
"to our children’s children, and shall always remind me that I owe my","1767978659128","1"
"“_Pardieu!_” cried Albert, “you are not a preacher, to remain","1767978659128","1"
"really been friends for the last eleven years—the discovery of this","1767978659128","1"
"“Yes, I see too plainly that it does exist. But it seems that it is","1767978659128","1"
"“Oh, if he knows the contents of this!” murmured he, “and that Noirtier","1767978659128","1"
"turned gray. A convulsive movement again brought him to the surface. He","1767978659128","1"
"sob which ever escaped from the bosom of a father abandoned at the same","1767978659128","1"
"“He was unable to write, sir. But that reminds me that I must ask your","1767978659128","1"
"turnkey retired.","1767978659128","1"
"the same care of him as if he had been his brother, the Englishman,","1767978659128","1"
"income of 50,000 livres per annum during the whole time of your stay in","1767978659128","1"
"“And then he was called——”","1767978659128","1"
"“‘Console thyself, sister; Israel is dead, but he is avenged.’","1767978659128","1"
"Pay and eat.”","1767978659128","1"
"“Thanks; the idea that tomorrow I shall no longer suffer, is sweet to","1767978659128","1"
"wonders of the _Arabian Nights_.”","1767978659128","1"
"weight on her heart. But now her position in life is assured,”","1767978659128","1"
"30327m","1767978659128","1"
"“Yes, sir.”","1767978659128","1"
"50273m","1767978659128","1"
"the letter.","1767978659128","1"
"“Alas, dear mother,” said the young man, “I have unhappily spent too","1767978659128","1"
"happiness; in that case I shall expect M. Morrel to come and claim me","1767978659128","1"
"elbows, with one hand resting on the hip and the other gracefully","1767978659128","1"
"“Ah, my dear father!” exclaimed Andrea, evidently charmed with the idea","1767978659128","1"
"“No, thank you, I am thinking of other things besides breakfast just","1767978659128","1"
"“What did you please to say, sir?” asked Caderousse.","1767978659128","1"
"was the living statue of the law.","1767978659128","1"
"to Morcerf, “you are most welcome as the friend of my lord and master.”","1767978659128","1"
"turning around, he saw near the door a beautiful fair face, whose large","1767978659128","1"
"anyone of them.”","1767978659128","1"
"devour leaf by leaf, knew too well the value of time to waste it in","1767978659128","1"
"and putting the finishing stroke to the deed of accusation, which was","1767978659128","1"
"ground instead of in the abyss which he expected would swallow him up.","1767978659128","1"
"friend?”","1767978659128","1"
"“And how long shall we be in accomplishing the necessary work?”","1767978659128","1"
"piastres—and under some pretext land at the Island of Monte Cristo.","1767978659128","1"
"This room was occupied by Dantès’ father. The news of the arrival of","1767978659128","1"
"“I have both seen and heard her. I saw her at the theatre, and heard","1767978659128","1"
"with an iron-heeled one. Others proposed the _anguille_, another kind","1767978659128","1"
"They were the same statues, rich in form, in attraction, and poesy,","1767978659128","1"
"man’s errors come before him disguised under the specious form of","1767978659128","1"
"the rough faces of seven or eight half-naked sailors. At the sight of","1767978659128","1"
"For a week since he had resolved to die, and during the four days that","1767978659128","1"
"table 15,000 francs in gold, and 30,000 francs in bank-notes.","1767978659128","1"
"absence.”","1767978659128","1"
"The unhappy young man had not thought of this.","1767978659128","1"
"sunburnt, and encircled by a beard, with eyes brilliant as carbuncles,","1767978659128","1"
"50049m","1767978659128","1"
"“When did you first feel that?”","1767978659128","1"
"interrogate the person of whom I spoke to you, and I will urge your","1767978659128","1"
"“And besides,” said the countess, “accustomed as he is to burning","1767978659128","1"
"“Luigi and Teresa again set forward; as they went on Teresa clung","1767978659128","1"
"pavilion situated at the corner of a large court, and directly opposite","1767978659128","1"
"“By all means,” replied Monte Cristo; “I follow you.”","1767978659128","1"
"“He!” cried the marquise: “Napoleon the type of equality! For mercy’s","1767978659128","1"
"Oriental stuffs, Venetian glass, arms from all parts of the","1767978659128","1"
"full of joy. When I entered the house, the first thing I beheld in the","1767978659128","1"
"“Where shall we pass the night?” he inquired.","1767978659128","1"
"“Ah, my child, my poor child!” cried the baroness, falling on her","1767978659128","1"
"two causes were enough to give it a gloomy aspect.","1767978659128","1"
"prominently displaying the sentence set forth in paragraph 1.E.1 with","1767978659128","1"
"“I know nothing certain; at that period of his life, I lost sight of my","1767978659128","1"
"with my grandfather, M. Noirtier; M. Danglars was there also—you","1767978659128","1"
"No distraction could come to his aid; his energetic spirit, that would","1767978659128","1"
"by right of conquest; go, sire, not that you incur any risk, for your","1767978659128","1"
"breast, and he cried,","1767978659128","1"
"given, entering the door, “what a great deal of ceremony! Is it the","1767978659128","1"
"refusal, which quite grieves me.”","1767978659128","1"
"He recollected the call he had made upon him after the dinner at","1767978659128","1"
"disagreeable dream.","1767978659128","1"
"the purity of my military life.’","1767978659128","1"
"offer you the choice of being present.”","1767978659128","1"
"became so dim, that he was forced to pause.","1767978659128","1"
"darkness to leave the house without being seen. The usher who had","1767978659128","1"
"seemed most anxiously to avoid even glancing at him.","1767978659128","1"
"general did not reply,—“Close the doors,” said the president to the","1767978659128","1"
"“Yes, count, you know what I told you?”","1767978659128","1"
"“Certainly,” said Peppino.","1767978659128","1"
"“And in three months’ time,” said Albert, “you will be at my house?”","1767978659128","1"
"then, to be here so young! Oh, what larks!”","1767978659128","1"
"greater security we stand out to sea. This costs us nothing, and saves","1767978659128","1"
"“Indeed, no,” said Château-Renaud.”","1767978659128","1"
"Boulevard;’ ‘four persons have been assassinated in the Rue St. Denis’","1767978659128","1"
"in his bringing up. He was a most lovely child, with large blue eyes,","1767978659128","1"
"and said,—","1767978659128","1"
"felt a wish to witness the spectacle, I might have done so from Monte","1767978659128","1"
"At this moment, and as Villefort had arrived at the corner of the Rue","1767978659128","1"
"campaign that, after the taking of Trocadero, he was made colonel, and","1767978659128","1"
"one of the sailors wrecked last night. My story will be accepted, for","1767978659128","1"
"“Well,” asked he, as soon as they were by themselves, “tell me what it","1767978659128","1"
"a huge oak, beneath which the young girl was to repose. When the grave","1767978659128","1"
"40278m","1767978659128","1"
"shepherd, whose only crime consisted in furnishing us with provisions.”","1767978659128","1"
"perfectly invisible.”","1767978659128","1"
"“And I, sire,” said M. de Blacas, “will go and find my messenger.”","1767978659128","1"
"already had the honor of meeting yourself and mademoiselle before? I","1767978659128","1"
"The landlord preceded the friends across the landing, which was all","1767978659128","1"
"“I do not wish it,” said the eye of her grandfather.","1767978659128","1"
"found the object of his search. “Here it is at last,” he said, “not","1767978659128","1"
"was a torch lighting two figures.","1767978659128","1"
"was for the moment clouded, then it shone with unusual lustre, and a","1767978659128","1"
"“It is a great honor to me,” returned Monte Cristo, “to be thus, on the","1767978659128","1"
"“Alas, it shows how little notion you can have of all it has cost me to","1767978659128","1"
"for picturesque expression and generosity of spirit there is not much","1767978659128","1"
"“Maximilian, Maximilian,” he said, “the ideas you yield to are unworthy","1767978659128","1"
"host.","1767978659128","1"
"“Do you talk in your sleep?”","1767978659128","1"
"a woman; he perfectly understood them, and undertook to procure for me","1767978659128","1"
"“Ah,” murmured Caderousse, “what a strange priest you are; you drive","1767978659128","1"
"fearful of being left to perish on the desolate island, I swam off on a","1767978659128","1"
"awake, you shall find a collection of costumes with which you will be","1767978659128","1"
"“I see,” returned the Englishman, “that a fresh and unmerited","1767978659128","1"
"Arrived in his bedroom, the count motioned to Ali to stop; then he","1767978659128","1"
"way, and a feeling of discouragement stole over him. This last proof,","1767978659128","1"
"pride, calls himself Jupiter. Whether Noirtier understood the young","1767978659128","1"
"“Stop a moment,” said the deputy, as Dantès took his hat and gloves.","1767978659128","1"
"“_Ma foi!_ monsieur, you have touched upon a tender chord.”","1767978659128","1"
"“I cannot believe such was the case. I was generally liked on board,","1767978659128","1"
"learns to make something from nothing. They were thus perpetually","1767978659128","1"
"require three weeks’ preparation; at the end of that time I shall come","1767978659128","1"
"“You do not like M. Franz?” The eyes repeated several times, “No, no,","1767978659128","1"
"mingled with his sorrow: he would gladly have embraced those who had","1767978659128","1"
"there?”","1767978659128","1"
"charming situation, in the heart of the Bois de Boulogne.”","1767978659128","1"
"pardon to the Vizier Ali, and not only gives him his life, but restores","1767978659128","1"
"“No, it is for the first expenses of your settling in Paris.”","1767978659128","1"
"reason do you assign?”","1767978659128","1"
"resignation. “What happened to the worthy captain?”","1767978659128","1"
"there;” and he pointed upwards.","1767978659128","1"
"the summit of a mountain beholds at his feet the craggy eminences, the","1767978659128","1"
"at that hotel, during which period I had cured my valet de chambre of a","1767978659128","1"
"beforehand that this man was mad, I should believe what he says.”","1767978659128","1"
"been told since that the garrison of the castle of Yanina, fatigued","1767978659128","1"
"unknown protector! I am not forgotten. They wish for secrecy, since we","1767978659128","1"
"valet re-entered.","1767978659128","1"
"“I do not know my age, for I have not counted the years I have been","1767978659128","1"
"I am not well. You should install yourself here, and cheer my solitude.","1767978659128","1"
"possessed nothing attractive save their value; in the third, Edmond","1767978659128","1"
"consideration the fact that the victims of my sword were infidels. But","1767978659128","1"
"name of its maker, of Parisian manufacture, and a count’s coronet.","1767978659128","1"
"“Tomorrow, sir, I shall have the honor of waiting upon you on","1767978659128","1"
"all use of and all access to other copies of Project Gutenberg™","1767978659128","1"
"To you, perhaps, they will accord the time they have refused to me.","1767978659128","1"
"indeed; the exclamation appears quite theatrical and affected. Happy,","1767978659128","1"
"drew the bolts, closed the curtains, and examined every corner of the","1767978659128","1"
"“Read it.”","1767978659128","1"
"indescribable pang in her heart, and before she had taken ten steps the","1767978659128","1"
"Debray was petrified, not only to hear Danglars speak so calmly and","1767978659128","1"
"was but a dream, for the man to disappear or assume some other form.","1767978659128","1"
"clerks whom you pay, vent it upon them.”","1767978659128","1"
"third cry, and felt himself sinking, as if the fatal cannon shot were","1767978659128","1"
"had been got upon their legs with considerable difficulty, he rubbed","1767978659128","1"
"stupendous ruins can be formed save by such as have visited them, and","1767978659128","1"
"Alone! he was alone again! again condemned to silence—again face to","1767978659128","1"
"0239m","1767978659128","1"
"to induce us to lay aside our most established opinions, or at all","1767978659128","1"
"Vampa; he therefore went forward without a moment’s hesitation,","1767978659128","1"
"Monte Cristo repeated all the titles he had read on the baron’s card.","1767978659128","1"
"indulge all your fancies; besides, should you find your income","1767978659128","1"
"“Now, then, to breakfast,” said Beauchamp; “for, if I remember, you","1767978659128","1"
"When Franz returned to himself, he seemed still to be in a dream. He","1767978659128","1"
"existed no obstacle to his immediate debarkation.","1767978659128","1"
"No, madame, they struck me, always struck me!","1767978659128","1"
"Champs-Élysées, and lead me out of this house without anyone seeing my","1767978659128","1"
"distinguish his features, although his dress was easily made out. He","1767978659128","1"
"Monte Cristo he said:","1767978659128","1"
"remained motionless behind some red curtains which were in Madame de","1767978659128","1"
"“And who is the man?”","1767978659128","1"
"the advantages naturally expected from so large an outlay of capital,","1767978659128","1"
"used to take his coffee at the club of the Phocéens, and read the","1767978659128","1"
"“The abbé, who was in Paris only for a month, inhabited a small","1767978659128","1"
"“I tell you he will never return. I know his character; he is","1767978659128","1"
"expressing what their tongues could not before a stranger.","1767978659128","1"
"o’clock.”","1767978659128","1"
"“Thanks, Danglars—that will smooth over all difficulties. I fully","1767978659128","1"
"before an execution, on which is pasted up a paper containing the names","1767978659128","1"
"“Why is that gendarme there?” asked Andrea of himself.","1767978659128","1"
"recognized the influence of Mercédès, and saw why her noble heart had","1767978659128","1"
"about ten o’clock in the morning, as he was starting to call on M.","1767978659128","1"
"genealogical tree and history of his house. All this I did","1767978659128","1"
"Morcerf, peer of France?”","1767978659128","1"
"“He had no other; he was a foundling.”","1767978659128","1"
"And the young officer shook the count’s hand so warmly, that Monte","1767978659128","1"
"Bertuccio, who was also gazing with sad astonishment upon the iron","1767978659128","1"
"supported by others, without being really liked by anybody, M. de","1767978659128","1"
"of the atmosphere peculiar to the light which the rays of the sun cast","1767978659128","1"
"own price at 8,000 crowns. Eight thousand crowns amounted to 48,000","1767978659128","1"
"heard no sound; but, to his astonishment, the room was suddenly","1767978659128","1"
"more respect than many servants pay their masters.","1767978659128","1"
"“Certainly.”","1767978659128","1"
"of the aged dandies of 1796, parading the newly opened gardens of the","1767978659128","1"
"impatiently awaited the return of his companions. To wait at Monte","1767978659128","1"
"fence had got down, and was still pacing the street; but, strange as it","1767978659128","1"
"turning to the singular personage who had caused this scene, he said,","1767978659128","1"
"life, and I thank you,” continued Dantès. “I was lost when one of your","1767978659128","1"
"related!” Then, after an instant of gloomy reflection, “Come, I will go","1767978659128","1"
"accomplices?”","1767978659128","1"
"“Tell me,” replied Faria, “what has hindered you from knocking down","1767978659128","1"
"“Florentin here!” cried he, starting up; “is my mother ill?” And he","1767978659128","1"
"monotonous and dull note; the leaves of the myrtle and olive trees","1767978659128","1"
"“‘And what may that be?’ inquired the bandits with astonishment.","1767978659128","1"
"are as a twofold bandage over my eyes; well——”","1767978659128","1"
"not criminal.”","1767978659128","1"
"decanter about three parts empty still standing on the waiter, where it","1767978659128","1"
"passed over his lips; then drawing near to Ali, he whispered:","1767978659128","1"
"order to satisfy himself that it really belongs to us, he wishes you to","1767978659128","1"
"Chapter 108. The Judge","1767978659128","1"
"visible on your countenance, bear your grief as the cloud bears within","1767978659128","1"
"are unable to oppose them,—you, whose mind is so quick, and whose will","1767978659128","1"
"light hair, his red whiskers, his false jaw, and his wound, to resume","1767978659128","1"
"and murdered Ali. Compared with such things, what is the letter you","1767978659128","1"
"ransom was fixed at three hundred piastres. Twelve hours’ delay was all","1767978659128","1"
"perceive his agitation, “what do you want? Speak quickly, friend.”","1767978659128","1"
"a shield, which, by its rich ornaments and its harmony with the rest of","1767978659128","1"
"rigidity of their lives, and deign to mingle in the follies of this","1767978659128","1"
"up—they went in there. “You will make tea for us, Baptistin,” said the","1767978659128","1"
"with a capital dish.","1767978659128","1"
"absence of my protector have cast me down, certainly, but not forever.","1767978659128","1"
"powers of La Specchia; but that momentary excitement over, they quickly","1767978659128","1"
"“Did he reflect before he insulted my father?”","1767978659128","1"
"she appeared the door-keeper rose, came to her, and asked her whether","1767978659128","1"
